corp_nm,detail
㈜포티투마루,                                [포티투마루] 인공지능 개발 프로젝트 PM 채용(경력)                            
㈜엔씨소프트,                                [엔씨소프트] 대화형 서비스 기획자 모집                            
㈜엔씨소프트,                                [엔씨소프트] AI 기반 콘텐츠 서비스 기획자 모집                            
도미노피자(청오디피케이),                                도미노피자 각부문(자회사/관계사포함) 공개채용                            
삼일회계법인,                                [RA] Risk Assurance Specialist 채용 (경력직)                            
㈜웹젠,                                [전문연구요원] 빅데이터 엔지니어 수시채용                            
굿어스데이터,                                Cloud 엔지니어 (경력 3년이상)                            
(유)앤서스랩코리아,                                2020 하반기 각부문별 직원 채용                            
테크디엔에이,                                빅데이터 분석 및 개발자 모집 공고                            
지식시스템㈜ KSTEC,                                [KSTEC] 통계/Analytics 신입 및 경력사원 채용                            
㈜아이스크림에듀,                                개발/기획 직군 채용                            
폰시티,                                JAVA 웹개발 팀장 구인 - 통신사 솔루션 개발                            
㈜유니네트워크,"                                플랫폼 개발, 기획 및 홍보, 마케팅 업무 경력자  모집                            "
캐롯손해보험㈜,                                캐롯손해보험 12월 경력직 상시채용                            
그린캣소프트㈜,                                [정규직/프리랜서] PL-SQL 개발자 채용 / 그린캣소프트(주)                            
㈜그로브소프트,"                                [웹개발(Front-End,Back-End)/웹서비스 기획]부문별 경력직 채용                            "
투아이시스㈜,                                2020 하반기 개발부 직원모집(응용/시스템/클라이언트/Vision)                            
㈜나투,                                인공지능형  플랫폼 IOS개발자를 모집합니다.                            
㈜원더피플,                                글로벌 플랫폼 서버 개발자 모집                            
㈜나투,                                인공지능형  플랫폼 개발 지원 및 의료 DB 입력 분석                            
㈜로아인텔리전스,                                [로아인텔리전스] 개발팀 전직군 채용                            
팜커넥트㈜,                                팜커넥트(주) JAVA/TYPESCRIPT/딥러닝 개발자 채용                            
신한에이아이,                                인공지능(AI)인력 채용                            
셀렉트스타 주식회사,                                크라우드소싱 연구원 채용                            
㈜비스텔,                                [비스텔] AI/빅데이터-Data Scientist 연구개발 채용(병역특례 전문연 지원가능)                            
㈜삼육오엠씨네트웍스,                                [교대역] 365mc 의료 DATA 분석가/과학자 모집                            
브이엔티지,                                [VNTG] 서비스/플랫폼 기획자                            
㈜더원테크,                                DB 설계 및 SQL 개발 경험자 모십니다.                            
㈜비트나인,                                [비트나인]Web Application 개발 경력직 채용                            
㈜코리아폴리스쿨,                                교육 빅데이터 전문가 채용                            
㈜한국고용정보,                                [AI사업부문] 인공지능SW 개발 경력직 모집                            
엔쓰리엔㈜,                                2020년 각 분야별 신입 및 경력사원 모집 (병역특례 포함)                            
㈜넥스리얼,                                AI 영상처리 SW 개발 연구원  모집                            
고투조이,                                [고투조이] Web/App 개발자 및 관리자 모집                            
㈜엘케이컨버전스,                                [강남/?은기업] 이커머스 프론트앤드/백앤드/빅데이터 개발자  모집                            
코렉스피엠㈜,                                빅데이터 백엔드 개발자(Python) 채용                            
마인즈아이,                                소프트웨어 관리자 정규직 채용                            
㈜디앤에스에버,                                Data Analyst / Business Intelligence Analyst                            
유웨이어플라이,                                기술본부 신입/경력 인재 채용(JAVA/PHP)                            
㈜유비퍼스트대원,                                연구소 WEB 서버 개발자 모집                            
㈜유비퍼스트대원,                                연구소 Linux 서버 개발자 모집                            
미스테리코,"                                [청년디지털일자리사업] 파이썬 인공지능(AI), 빅데이터 개발                            "
㈜지우컴퍼니,"                                LAB543에서 데이터분석가를 모십니다(신입,경력 무관)                            "
㈜한국정보기술단,                                [(주)한국정보기술단] 빅데이터 분석 기술인력 모집 (정규직)                            
㈜밀버스,                                [MILVUS]빅데이터분석 마케팅(신입/경력)                            
소리엔,                                AI or DB 개발자를 모십니다. [경력/신입]                            
아이알링크㈜,                                웹개발 경력직 채용                            
디노플러스㈜,"                                웹개발( JAVA, JSP, node.js, 파이썬) 경력개발자 모집합니다.                            "
플랜잇파트너스,                                Tableau 개발자 / BI(Business Intelligence) 컨설턴트                            
㈜미소정보기술,                                미소정보기술 대전본부 개발자 경력직 채용                            
㈜데이터위버,                                [신입/경력무관]Python 데이터분석 전문가 채용                            
데이터브릭,                                빅데이터 관련 기술 지원 정규직 모집합니다(경력)                            
㈜데이터유니버스,"                                [경력/정규직] 웹, 모바일 UI/UX 디자이너 채용                            "
㈜한국공간데이터,"                                [연구개발팀] 백엔드 개발자 구인 - 신입,경력                            "
㈜데이터플로,"                                증강현실 (AR), 가상현실(VR) Unity 개발자 (신입, 경력)                            "
모비두㈜,"                                [소스라이브]서비스 기획자, Front-End 개발자 外 부문별 채용                            "
CJ 4DPLEX,                                CJ 4Dplex [스마트솔루션팀] SW개발 경력사원 채용                            
㈜이엘온소프트,                                금융/공공 웹/응용 솔루션 개발 경력자 모집                            
수퍼빈,                                [수퍼빈] 로보틱스팀과 함께 가치를 만들어가실 분을 찾습니다                            
제이씨스퀘어㈜,                                IoT 플랫폼 & 스마트시티 솔루션 사업 개발자 채용                            
㈜빅인사이트,                                빅인은 Data Science 채용중                            
㈜머지리티,"                                (주) 머지리티 우수인재 모집(영상처리,AI,APP서버개발) 경력                            "
그린아이티코리아,                                조달 우수제품 사업 기획 관리 업무담당자 모집                            
㈜아이티지엔,                                네트워크 컨설팅 / 정보시스템 컨설팅 인재채용                            
㈜로딕스,"                                [정규직] 딥러닝, 머신러닝 및 영상처리 부문 신입 및 경력자 모집                            "
㈜라인웍스,                                Machine Learning Engineer (경력)                            
㈜허그케어앤테라퓨틱스,                                AI 분야를 같이 연구할 SW 개발자를 모십니다.                            
㈜넷크루즈,                                보안 솔루션 개발자 모집                            
디앤아이컨설팅㈜,                                빅데이터 분석(머신러닝/딥러닝) 컨설턴트 정규직 채용                            
㈜레티그리드,                                IOT Device 임베디드 소프트웨어 개발자를 모집합니다.                            
㈜레티그리드,                                IOT 플랫폼 frontend 개발자 모집합니다.                            
㈜레티그리드,                                IOT 플랫폼 backend 개발자 모집합니다.                            
㈜바이브컴퍼니,"                                FT LAB에서 파이썬, 웹 어플리케이션 개발자 채용합니다.                            "
지식시스템㈜ KSTEC,                                [KSTEC] 2020년 경력 사원 채용 (SW개발자)                            
웨다,                                AI 비전 기반 품질 검증 솔루션 개발 연구원                            
㈜어센트코리아,                                Data Marketing Director 채용 / 어센트코리아 Project Management팀                            
포스켄㈜,                                Data Scientist 채용합니다.                            
어니컴㈜,                                [어니컴(주)] 빅데이터 분석/SW개발/알고리즘개발 모집(경력무관)                            
㈜피넛테크,"                                Phthon, Golang  분석서버 개발자 모집 (경력3년이상, 광고플랫폼개발)                            "
에스오지,                                자바 / 리액티브 앱  백엔드 개발자 구합니다.                            
㈜아이셋디에이,                                [판교] AI 기반 어플리케이션 개발 경력채용                            
㈜어센트코리아,                                어센트코리아 기업부설연구소 / 자연어처리 개발자 모집                            
㈜엔에스에이치씨,                                웹 크롤링 엔진 개발자 신입 및 경력 채용                            
테크온미디어,                                JAVA서버개발자 경력직 채용                            
큐픽스,                                [전문연구요원] 컴퓨터비전/딥러닝/SLAM 알고리즘 개발                            
㈜바이브컴퍼니,                                (경력)소셜분석 보고서 담당자 채용합니다.                            
주식회사 유오케이,                                [스마트시티/디지털트윈] 고정밀 3차원 공간정보 구축 시장을 선도할 인재를 모집합니다 - 신입                            
주식회사 유오케이,                                [스마트시티/디지털트윈] 고정밀 3차원 공간정보 구축 시장을 선도할 인재를 모집합니다 - 과장급 경력사원                            
누리꿈소프트㈜,"                                Python 개발,  유지보수 인력 구인합니다                            "
디스이즈엔지니어링(주),                                [TIE] Embedded Software Engineer 채용                            
㈜엣지랭크,                                디지털 퍼포먼스마케팅 (경력/신입) 모집                            
메가존클라우드㈜,                                2021 상반기 신입 채용                            
㈜머니브레인,                                [인공지능 기업] 풀스택 개발자 (팀장급)                            
티지360테크놀로지스,"                                빅데이터(Hadoop, Hive) 플랫폼 엔지니어/개발자 경력 채용                            "
㈜한터글로벌,                                [(주)한터글로벌] Back-End 개발자 채용공고                            
㈜로드와이즈,"                                [인공지능]분야 머신러닝, c/c++ 연구개발자 모집(신입/경력)                            "
㈜델바인,                                2020 하반기 영상처리개발자 경력무관 채용                            
㈜ 엠티콜렉션,                                [메트로시티] CRM 마케팅팀 경력 채용                            
㈜카비,                                전문연구요원 채용: Data Scientist /영상인식 알고리즘 개발 및 선행 개발                            
㈜로드와이즈,"                                [에듀테크] 영어자동첨삭엔진 연구원 (영어영문학, Java, Node.js)                            "
카이아이컴퍼니,                                AI 엔지니어 채용                            
인튜웍스,                                (주)인튜웍스 AI 딥러닝 개발자 신입/경력 정규직 채용                            
㈜에프원시큐리티,                                IoT 취약점 점검/분석 및 지원업무                            
㈜펄핏,                                Data Team Lead 채용                            
㈜천재교과서,"                                이러닝 밀크T AI기획, AI개발 담당자 모집                            "
㈜와이즈케어,                                인공지능 챗봇 솔루션 Backend 개발자                            
메이팜소프트,"                                2020년 파이썬, 자바, AI 개발자 채용 (경력 0명, 신입 0명)                            "
㈜써티웨어,                                S/W 개발 및 운영 인재채용                            
㈜지피지기소프트,                                [스마트시티솔루션개발팀] 신입/경력 개발자 채용 ( Only Programmer )                            
엠투아이티,                                엠투아이티 신입 개발자 채용                            
스프링클라우드,                                [제2판교] 서비스 기획 (정규직)                            
바이오에이아이,                                딥러닝개발자를 모십니다.                            
㈜자이냅스,                                [자이냅스] 백엔드(Back-end) 개발자 (주니어/시니어) - 음성합성팀                            
