corp_nm,detail
프로페셔날핸즈인핸즈코리아(주),"05. IT Data Analyst (대리/과장급) - 대시보드,Visualization"
(주)잡뉴스솔로몬서치,"대기업) 로봇 Data 분석 및 설계 (과장-차장급), 수원시"
커리어앤컴퍼니,Data Scientist
휴머레인컨설팅,긴급) 업계 최고기업 - Data Scientist (추천시스템 전략)
휴머레인컨설팅,긴급) Data Scientist (추천시스템 전략) - 업계 최고기업
(주)메쉬코리아,[메쉬코리아(부릉)] Data Scientist 채용
(주)메쉬코리아,[메쉬코리아(부릉)] Data Infra Ops 경력직 채용
(주)메쉬코리아,[메쉬코리아(부릉)] Senior Data Engineer 경력직 채용
㈜카푸스아이앤티,메타데이타 혹은 데이타품질관리  컨설팅 및 프리세일즈
(주)메쉬코리아,[메쉬코리아(부릉)] Senior AI Data  Scientist 경력직 채용
(주)메쉬코리아,[메쉬코리아(부릉)] Lead Data Scientist 경력직 채용
리레코코리아㈜,[외국계기업] Commercial Data Analyst
(주)컴투스,[컴투스/게임빌컴투스플랫폼/게임빌] 각 부문별 채용
(주)뉴트리원,2020년 하반기 각 부문 신입/경력 채용
오스템임플란트(주),2020 오스템임플란트 각 분야 채용공고
(주)씨젠,IT인재 대규모 채용
이투스교육(주),2020 이투스교육 블라인드 공채
(주)에스티씨랩,㈜에스티씨랩 2020년 공개채용
롯데정보통신(주),2020(하) 12월 IT직무 경력사원 채용
(주)아이스크림에듀,㈜아이스크림에듀 마케팅/콘텐츠/영업/관리 직군 채용
참엔지니어링(주),2020년 하반기 각 부문별 신입/경력 채용
(주)모아저축은행,모아저축은행 경력직 채용 안내
(주)마크로젠,㈜마크로젠 각 부문 신입/경력 직원채용
(주)로지올,[생각대로] 전국1위 배달 플랫폼 연구소/지역사업실 모집
(주)온누리아이코리아,[브랜드 스타트업] 온누리아이코리아 부문별 채용
현대에너지솔루션(주),현대에너지솔루션  '21년 경력 사원 모집
(주)디알텍,2020년 하반기 신입 및 경력채용
(주)인텔리빅스,2021년 각 부문별 신입 및 경력사원 공개채용
(주)NSHC,웹 크롤링 엔진 개발자 신입 및 경력 채용
(주)펄핏,Product Manager 채용공고
현대무벡스(주),현대무벡스㈜ 부문별 경력사원 상시 모집
(주)데이터마케팅코리아,"인공지능 마케팅 솔루션, 백엔드 엔지니어(경력)"
(주)데이터마케팅코리아,"인공지능 마케팅 솔루션, 백엔드 엔지니어(신입)"
드로닉(주),"벤처기업 드로닉 IoT 개발자 채용(C, Java)(비상주 가능)"
(주)룰루랩,룰루랩(삼성전자C-lab) 전문연구요원 채용-AI 알고리즘
뉴로핏 주식회사,뇌 의료영상을 이용한 뇌 자극 시뮬레이션 연구원 모집
(주)농협정보시스템,"(주)농협정보시스템 정규직(경력,신입) / 계약직 직원 모집"
